student_id	department_id	department_name	grade	name		birthday
2017068657	1		security	1	Lane		1997-12-14
2015846665	5		architecture	2	Lanford		1994-01-01
2017110366	5		architecture	3	Langdon		1995-02-13
2016566275	3		design		4	Langley		1998-08-19
2015311009	5		architecture	1	Langston 	1998-02-04
2015249663	5		architecture	2	Lark		1998-12-31
2015244943	3		design		3	Lathan		1995-09-26
2015552012	3		design		2	Alcott		1999-10-26
2017546733	1		security	3	Alden 		1994-06-21
2017452385	5		architecture	2	Fenton 		1999-06-14
2016310847	4		chemical	2	Ferebee 	1996-01-16
2017508142	3		design		1	Fielder 	1996-12-02
2017685292	3		design		3	Fielding	1996-12-07
2016895233	1		security	3	Filmore 	1994-01-06
2016172111	3		design		2	Finch		1998-11-24
2016894338	4		chemical	3	Finesse		1998-08-31
2018029188	4		chemical	3	Finnick 	1994-04-25
2018027775	2		computer	1	Fisk 		1999-04-09
2015238759	4		chemical	3	Fitzhugh 	1998-12-22
2015936832	1		security	2	Fitzroy		1994-07-10
2017925230	2		computer	4	Fitzwilliam	1994-02-23
2017320838	4		chemical	3	Jagger 		1996-03-28
2015985158	5		architecture	3	James 		1995-10-27
2015759616	3		design		2	Jameson		1994-10-25
2017361996	2		computer	2	Jane 		1994-03-04
2017723122	4		chemical	3	Janet 		1996-02-27
2016804982	1		security	4	Jarman		1997-03-23
2016821285	5		architecture	2	Jarrell 	1998-08-24
2015445901	4		chemical	1	Jarrett		1995-11-17
2018060724	3		design		3	Maggie 		1998-03-30
2016747305	4		chemical	4	Maida 		1995-04-22
2015980408	5		architecture	3	Mailer 		1998-09-28
2015421041	5		architecture	2	Malin		1994-07-02
2017012111	3		design		4	Manley		1997-08-15				
2015227511	3		design		3	Manny		1995-06-28				
2018131041	2		computer	4	Norabel 	1995-06-20				
2015351350	5		architecture	2	Noreen 		1999-06-02				
2015537335	2		computer	3	Norfolk 	1995-01-19				
2015520272	5		architecture	3	Norma		1995-05-09				
2017941753	2		computer	4	Norman 		1994-10-17				
2018110229	2		computer	1	Northcliff 	1999-08-11				
2017691315	5		architecture	2	Northrop 	1998-10-07				
2015309909	2		computer	1	Norton		1999-11-09				
2015264816	1		security	1	Norvin 		1996-12-29				
2016047094	5		architecture	3	Norwood 	1998-07-27				
2016122683	5		architecture	3	Noyce 		1996-06-07				
2017347212	2		computer	3	Oakes		1995-01-19				
2016587087	4		chemical	2	Oakley 		1997-05-13				
2017150850	4		chemical	3	Oberon		1999-08-23				
2015768543	2		computer	1	Parker		1997-09-06				
2015641872	2		computer	4	Parkin 		1994-12-01				
2017898930	3		design		4	Parr		1998-12-09				
2015521551	5		architecture	1	Parson		1994-11-24				
2016063186	2		computer	3	Parton		1998-10-03				
2017042401	1		security	1	Pascal 		1996-09-29				
2018079820	4		chemical	4	Pascoe 		1995-12-20				
2015597473	1		security	1	Pat 		1995-09-30				
2016938718	3		design		2	Paterson 	1995-02-17				
2016415945	2		computer	1	Patsy		1996-02-12				
2015241954	1		security	1	Oberon		1995-01-19				
2015431340	1		security	2	Odele 		1994-04-21				
2017163542	1		security	3	Odell 		1997-04-12				
2018023534	3		design		3	Ogden 		1995-10-24				
2016638084	1		security	1	Olive		1997-06-06				
2016850993	4		chemical	4	Marge 		1999-02-07				
2015292753	2		computer	3	Marigold	1997-11-19				
2017505603	3		design		1	Marilyn		1994-07-04				
2017011798	5		architecture	1	Marlee 		1999-05-21				
2017798515	4		chemical	1	Marley		1997-09-03				
2017233995	4		chemical	4	Marlon 		1999-08-21				
2015460713	4		chemical	3	Marlow 		1999-08-05				
2018097878	5		architecture	3	Marlowe		1996-02-19				
2016317424	5		architecture	4	Jaxon 		1999-02-01				
2016876488	1		security	3	Jayleen		1994-10-31				
2017619196	1		security	4	Jazz 		1995-06-18				
2017483793	5		architecture	1	Jean 		1996-09-23				
2017965655	5		architecture	2	Jefferson 	1994-01-29				
2015403429	1		security	1	Jeffrey 	1995-03-03				
2017683011	3		design		3	Flash		1995-06-01				
2015743527	1		security	1	Remington 	1997-09-25				
2016746483	5		architecture	4	Revel 		1997-07-24				
2018264247	3		design		1	Reverie 	1997-06-26				
2016505796	1		security	3	Reynold		1997-10-11				
2015372207	4		chemical	1	Rhett		1995-01-06				
2017400856	1		security	1	Fleetwood	1996-06-20				
2016386994	3		design		2	Alexis 		1998-06-08				
2016520612	1		security	1	Alfie		1994-04-09				
2016477156	5		architecture	4	Lauren 		1994-08-17				
2017930276	3		design		4	Laurie 		1996-09-02				
2017056348	3		design		2	Lavender	1999-08-12				
2016370972	5		architecture	1	Lawson 		1998-07-25				
2017148185	5		architecture	2	Lea 		1995-08-09				
2015248745	3		design		4	Ledger 		1996-09-08				
2016927718	5		architecture	1	Calder		1998-10-20				
2015230431	4		chemical	4	Calico		1999-04-01				
2017137931	5		architecture	1	Dove 		1994-06-06				
2017013958	4		chemical	4	Drake 		1998-11-21				
2016077452	2		computer	2	Aldous		1996-12-30
2016753490	5		architecture	1	Aldrich		1997-09-29
2012751179	4		chemical	4	Tomy		1998-07-29
